ra_deg,dec_deg,mag,nama,bayer,konstelasi,hip
30.51176,2.76376,3.82,Alrescha,Alp,Psc,9487
139.71104,36.80260,3.82,,,Lyn,45688
172.85111,69.33108,3.82,Giausar,Lam,Dra,56211
247.72844,1.98392,3.82,Marfik,Lam,Oph,80883
264.86621,46.00633,3.82,,Iot,Her,86414
156.52263,-16.83629,3.83,,Mu,Hya,51069
209.56779,-42.10075,3.83,,Phi,Cen,68245
221.96552,-79.04475,3.83,,Alp,Aps,72370
56.04890,-64.80690,3.84,,Bet,Ret,17440
56.07972,32.28825,3.84,Atik,Omi,Per,17448
67.14372,15.96218,3.84,,The-1,Tau,20885
133.76185,-60.64461,3.84,,,Car,43783
158.20280,9.30659,3.84,,Rho,Leo,51624
159.32576,-48.22562,3.84,,,Vel,51986
188.11701,-72.13299,3.84,,Gam,Mus,61199
271.88562,28.76249,3.84,,Omi,Her,88794
273.44088,-21.05883,3.84,Polis,Mu,Sgr,89341
297.04275,70.26793,3.84,,Eps,Dra,97433
63.50044,-42.29437,3.85,,Alp,Hor,19747
86.82118,-51.06651,3.85,,Bet,Pic,27321
95.52846,-33.43640,3.85,,Del,Col,30277
153.68410,-42.12194,3.85,,,Vel,50191
188.37087,69.78824,3.85,,Kap,Dra,61281
189.42591,-48.54130,3.85,,Tau,Cen,61622
239.11323,15.66162,3.85,,Gam,Ser,78072
275.92451,21.76975,3.85,,,Her,90139
278.80177,-8.24407,3.85,,Alp,Sct,91117
14.18827,38.49934,3.86,,Mu,And,4436
69.54510,-14.30402,3.86,Sceptrum,,Eri,21594
82.80314,-35.47052,3.86,,Eps,Col,25859
243.85946,-63.68568,3.86,,Del,TrA,79664
248.36413,-78.89715,3.86,,Gam,Aps,81065
269.06325,37.25054,3.86,,The,Her,87808
335.41407,-1.38733,3.86,Sadachbia,Gam,Aqr,110395
56.45669,24.36775,3.87,Maia,,Tau,17573
131.50686,-46.04153,3.87,,,Vel,43023
209.66980,-44.80358,3.87,,Ups-1,Cen,68282
220.76510,-5.65821,3.87,,Mu,Vir,71957
239.22115,-29.21407,3.87,Iklil,Rho,Sco,78104
298.11820,1.00566,3.87,,Eta,Aql,97804
2.35254,-45.74743,3.88,,Eps,Phe,765
28.38255,19.29385,3.88,Mesarthim,Gam-2,Ari,8832
148.19097,26.00695,3.88,Rasalas,Mu,Leo,48455
227.98377,-48.73782,3.88,,Kap-1,Lup,74376
347.58960,-45.24671,3.88,,Iot,Gru,114421
44.10687,-8.89814,3.89,Azha,Eta,Eri,13701
103.53314,-24.18421,3.89,,Omi-1,CMa,33152
138.59107,2.31428,3.89,,The,Hya,45336
184.97649,-0.66680,3.89,Zaniah,Eta,Vir,60129
