nama,lat,lon,elevasi_m
Botto Matajang,-3.970000,120.122500,
Botto Palli,-3.563333,120.192222,
Botto Pasang,-3.673611,120.122778,
Botto Patirosompo,-3.870000,120.211111,
Botto Rampang,-4.630833,119.932778,
Botto Riwalla,-3.705833,120.014722,
Botto SaloDurian,-3.661389,120.098333,
Botto Sarong,-3.538889,120.191111,
Botto Setange,-3.876389,120.182222,
Botto Simpanglajana,-3.898333,120.254167,
Botto Sompung,-3.784000,119.904600,
Botto Tabang,-3.621389,120.013056,
Botto Talawasah,-3.644722,120.050000,
Botto Tallu,-3.522222,120.070833,
Botto Tamakko,-3.729444,120.042778,
Botto Tampung,-3.801667,119.903611,
Botto Tanabakka,-3.651667,120.020000,
Botto Tanre,-3.937500,120.093333,
Botto Tauang,-3.557222,120.127222,
Botto Timpalaja,-3.987778,120.101111,
Botto Tingkoro,-3.909722,120.170278,
Botto Topance,-3.832300,120.151500,
Botto Tundumbusu,-4.113611,122.614167,
Botto Tungkae,-3.884167,120.065833,
Botto Wangiwangie,-3.850833,120.193611,
Botto Warani,-3.579722,120.085278,
BowongBatu,3.498333,125.662778,
Bowongbaru,3.430000,125.613333,
Bowongbira,3.421111,125.574167,
Bowonggumahe,3.595278,125.518333,
Bowonghesang,3.400556,125.567222,
Bowongkempughang,3.381111,125.602500,
Bowongkota,3.620278,125.493889,
Bowongsahongang,3.503056,125.650556,
Bratan,-8.283333,115.133333,2276
Brownrigg Rock,2.637500,106.321111,
Bua Bubui,-2.875278,128.322778,
Buffels,-7.166667,112.700000,
Bugi Manila,-4.510833,119.461944,
Buido Balagudu,0.515556,123.519167,
Buido Balani,0.529167,123.375000,
Buido Balani,0.543611,123.333889,
Buido Bambua,0.594722,123.421111,
Buido Banggo,0.432222,123.290000,
Buido BatataDiti,0.594167,123.390833,
Buido Biwuwonggado,0.558611,123.450833,
Buido Buata,0.540556,123.442222,
Buido Bubalango,0.564167,123.485000,
Buido Bula,0.467778,123.255833,
Buido Bumba,0.496389,123.390833,
Buido Butata Daa,0.629722,123.356111,
Buido Dulamayo,0.542500,123.382778,
Buido Ledaleda,0.474722,123.338056,
Buido Linuga,0.581667,123.457500,
Buido Lompotoo,0.588333,123.222778,
Buido Longgino,0.483889,123.293889,
Buido Mamalia,0.611944,123.348611,
Buido Modea,0.577500,123.412500,
Buido Mohondamo,0.565556,123.468056,
Buido Molintogupo,0.597500,123.316111,
Buido Moliuto,0.489722,123.285000,
Buido Pakili,0.464444,123.268056,
Buido Payanato,0.524444,123.290556,
Buido Payango,0.571667,123.235833,
Buido Pinonimpusa,0.601667,123.487500,
Buido Poduoma,0.549722,123.281111,
Buido Popaya,0.492778,123.306111,
Buido Sunggu,0.522222,123.333333,
Buido Tapambundu,0.549722,123.490278,
Buido Timbuludu,0.494722,123.293611,
Buido Tinayola,0.560000,123.413889,
Buido Tinongbolibuto,0.513333,123.387778,
Buido Tomonoangita,0.575556,123.404167,
Buido Utado,0.520000,123.347100,
Buido Walidu,0.505833,123.256111,
Buido Walugo,0.583889,123.481667,
Buido Wihito,0.590000,123.345000,
Buidu Amangao,0.843333,123.113889,
Buidu Batu merah,0.806667,123.170000,
Buidu Binidaa,0.855278,123.158889,
Buidu Botukadera,0.814444,123.226667,
Buidu Damahu,0.864167,123.101389,
Buidu Dulipohe,0.864722,123.000000,
Buidu Hiito,0.830833,123.194722,
Buidu Hutamoputi,0.863889,123.053889,
Buidu Kamengaan,0.883611,123.097778,
Buidu Langke,0.887778,123.044722,
Buidu Limbato,0.935600,123.045300,
Buidu Limu,0.868611,123.036944,
Buidu Nanati,0.891389,123.052500,
Buidu Painimbato,0.788333,123.172500,
Buidu Palajuli,0.834167,123.061111,
Buidu Parasiden,0.830278,123.137222,
Buidu Polohungo,0.941111,123.009167,
Buidu Pontolo,0.844167,123.013889,
Buidu Sapabuni,0.882778,123.062500,
Buidu Tagale,0.830278,123.108889,
Buidu Toloe,0.797500,123.234167,
Buidu Towudu,0.848889,123.078333,
Buidu Waluhumodelomo,0.857222,123.135278,
Buidu Wapalo,0.858333,123.040833,
Buiro Bangkola,0.606111,123.570278,
Buiro Batu meja,0.690000,123.580833,
Buiro Binongkahia,0.803889,123.626389,
Buiro Boyau,0.594444,123.498889,
Buiro Buiro,0.746389,123.568333,
Buiro Bula,0.643333,123.606111,
Buiro Duasaudara,0.691111,123.705000,
Buiro Ihiso,0.642222,123.671389,
Buiro Ihiso,0.781111,123.547222,
Buiro Inatoro,0.765278,123.646944,
Buiro Ingarah,0.841667,123.507222,
Buiro Inomasa,0.669167,123.554167,
Buiro Kintuli,0.817500,123.585278,
Buiro Konito,0.675278,123.515278,
Buiro Lambadu,0.756667,123.661111,
Buiro Leado,0.642500,123.529167,
Buiro Luangonia,0.745833,123.681944,
Buiro Mewango,0.730000,123.558333,
Buiro Mobonua,0.798333,123.665000,
Buiro Mokuhungkungo,0.673333,123.627778,
Buiro Mongkupa,0.768333,123.575278,
Buiro Mosinggi,0.813333,123.503611,
Buiro Ontombuno,0.832222,123.585278,
Buiro Oroa,0.709167,123.521667,
Buiro Pangi,0.815833,123.600833,
Buiro Pangkusa,0.823889,123.621389,
Buiro Pinososaula,0.785278,123.602500,
Buiro Pinua,0.622500,123.592778,
Buiro Pohutandayo,0.833611,123.596111,
Buiro Poluku,0.696944,123.611111,
Buiro Potodo,0.855000,123.523611,
Buiro Ratauli,0.621111,123.547778,
Buiro Renga,0.716667,123.668333,
Buiro Rolipaka,0.626389,123.568611,
Buiro Salabose,0.768611,123.671111,
Buiro Sapasae,0.812778,123.567500,
Buiro Sopango,0.625833,123.684722,
Buiro Subo,0.690833,123.674722,
Buiro Tendeitio,0.768333,123.630556,
Buiro Tiollo,0.785000,123.625833,
Buiro Tombolango,0.635000,123.590833,
Buiro Uli,0.735556,123.572500,
Buiro Umbaso,0.816944,123.532500,
Buiro Usungo,0.770556,123.586944,
Buiro Uuwo,0.841389,123.572778,
Buiro Waila,0.805278,123.545833,
Buk Alokela,-8.223333,124.911667,
Buk Jahawala,-8.343889,124.921944,
Buk Kadalumu,-8.321389,125.109167,
Buk Larama,-8.257222,125.026389,
Buk Lonowumu,-8.351111,124.917222,
Buk Malala,-8.352778,124.894167,
Buk Molotena,-8.331389,124.960000,
Buk Poloman,-8.239167,124.913889,
Buk Pumang,-8.267222,124.936111,
Buk Silopa,-8.355000,124.905278,
Buk Talage,-8.344444,124.956389,
Buk Wariki,-8.276389,125.087778,
Buk Wasakela,-8.226389,124.902500,
Buk Weling-weling,-8.216667,124.962778,
Buki Bomara,-8.397778,124.564167,
Buki Bonto,-7.406667,121.767500,
Buki Kafof,-8.421667,124.591667,
Buki Lakatuli,-8.392778,124.599722,
Buki Lali,-8.269722,124.614722,
Buki LelBuk u,-8.378500,124.638500,
Buki Muna,-8.346111,124.595278,
Buki Pandawa,-8.360000,124.618333,
Buki lanimang,-8.348611,124.994167,
Bukii Ambotuban,1.315000,120.917500,
Bukii Anggoban,1.131111,120.999167,
Bukii Anjam,1.268333,121.082222,
Bukii Anteba,1.282222,121.116389,
Bukii Anyam,0.951667,120.803611,
Bukii Apal Buki l,1.257500,121.144444,
Bukii Bada,1.214167,121.190833,
Bukii Bakulu,1.182778,120.975833,
Bukii Bambalatung,1.296389,121.110833,
Bukii Bambangalan,1.344167,120.942500,
Bukii Bambasayaka,1.139167,121.213889,
Bukii Bandungan,1.248611,121.180000,
Bukii Basiang,0.930833,120.686944,
Bukii Batu kasur,1.266389,120.868333,
Bukii Batu lapa,1.210833,121.212500,
Bukii Batu paesa,1.273611,120.837222,
Bukii Batu porli Dako,1.238333,121.211667,
Bukii Batu porli Dedek,1.246944,121.199167,
Bukii Bei,1.292500,121.037778,
Bukii Bendera,1.261667,121.003611,
Bukii Boemalabu,1.322222,120.941389,
Bukii Bogu,1.226944,121.316389,
Bukii Bonto,1.328611,120.957500,
Bukii Borlano,1.185556,121.012500,
Bukii Botumeme,1.175556,121.368333,
Bukii Bunga,0.949167,120.763611,
Bukii Buntuna,1.095600,121.166100,
Bukii Dako,1.055000,120.945556,
Bukii Dako,1.183056,121.226111,
Bukii Damar,1.181944,120.937778,
Bukii Dampelas,1.274722,121.093889,
Bukii Dedek,1.083611,121.027500,
Bukii Diule,1.211667,120.960000,
Bukii Doka,1.208611,121.284722,
Bukii Dokopomean,1.311667,120.822222,
Bukii Doyan,1.065278,120.801944,
Bukii Galang,1.060556,120.934167,
Bukii Galumpang,1.263611,120.958056,
Bukii Galumpang,1.225833,120.893611,
Bukii Gopa,1.295556,120.963889,
Bukii Indam,1.154167,121.298889,
Bukii Jembang,1.162778,121.206667,
Bukii Kabinuang,1.015278,120.880000,
Bukii Kaidupan,1.120833,121.096667,
Bukii Kalamotu,1.185900,121.346000,
Bukii Kalangkangan,1.082778,120.923611,
Bukii Kanaman,1.156667,121.085833,
Bukii Kapas,1.295833,120.838333,
Bukii Karamat,1.274444,121.135278,
Bukii Kepaatan,1.226667,121.382778,
Bukii Kerbau,1.320000,120.991944,
Bukii Kolera,1.203889,121.381111,
Bukii Kolisanan,1.160556,120.856944,
Bukii Kulanga,0.906667,120.700278,
Bukii Labengga,1.074444,120.838056,
Bukii Labengga,1.050000,120.917222,
Bukii Langgat,1.017778,120.954444,
Bukii Lemo,0.938611,120.801389,
Bukii Leokapal,1.277222,121.071667,
Bukii Leoksoga,1.176389,120.853333,
Bukii Limpuatan,1.278056,120.848333,
Bukii Luncur,1.286111,120.908056,
Bukii Maemae,1.261111,121.041667,
Bukii Malangga,1.149167,120.948056,
Bukii Malempa,0.946111,120.698611,
Bukii Malisa,1.196111,121.060833,
Bukii Manggulirba,1.232778,121.194444,
Bukii Manunggo,1.212778,121.048333,
Bukii Matop,1.302222,121.089167,
Bukii Melintang,1.267778,120.902778,
Bukii Mendaan,1.257778,121.425833,
Bukii Moloitom,1.148889,121.185000,
Bukii Monano,1.248056,121.329167,
Bukii Nanasi,1.279167,120.990556,
Bukii Nangga,1.245278,121.142778,
Bukii Ngespesa,1.270000,120.912500,
Bukii Ogomoligi,1.063333,120.813611,
Bukii Ogotende,1.018333,120.838056,
Bukii Ondor,1.253056,121.387222,
Bukii Oyak,1.226000,121.366600,
Bukii Paguratan,1.065833,121.000278,
Bukii Palapat,1.297222,121.027500,
Bukii Palapi,1.270000,121.116111,
Bukii Pamantoan,1.284444,121.078333,
Bukii Pammautan,1.030278,121.010000,
Bukii Pangi,0.955000,120.838889,
Bukii Panimputan,1.175556,121.095000,
Bukii Papad,1.303333,121.453889,
Bukii Patutu,1.190833,121.302500,
Bukii Pendara,1.116389,121.038611,
Bukii Penyesalan,1.172500,121.306389,
Bukii Polas,1.176667,121.119167,
Bukii Pomadokan,1.270278,121.457778,
Bukii Poongan,1.301111,121.446944,
